KG_Pair,k1,b,epsilon,C Hits@1,C Hits@5,C Hits@10,C Hits@20,C Hits@50,P Hits@1,P Hits@5,P Hits@10,P Hits@20,P Hits@50,Total_Time_Seconds
memoryalpha-memorybeta,0.6,1.0,,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.5471698113207547,0.8113207547169812,0.8490566037735849,0.8867924528301887,0.9056603773584906,273.45704412460327
memoryalpha-stexpanded,0.6,1.0,,0.6153846153846154,0.8461538461538461,1.0,1.0,1.0,0.4878048780487805,0.7560975609756098,0.8292682926829268,0.9024390243902439,0.9512195121951219,166.68193817138672
starwars-swg,0.6,1.0,,0.4,0.6,0.6,0.6,0.8,0.15,0.3,0.35,0.5,0.6,448.6667158603668
starwars-swtor,0.6,1.0,,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.8666666666666667,0.39285714285714285,0.5714285714285714,0.6607142857142857,0.8571428571428571,0.9821428571428571,452.1236708164215
marvelcinematicuniverse-marvel,1.2,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.5454545454545454,447.57344365119934
memoryalpha-memorybeta,1.2,0.0,,0.42857142857142855,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.33962264150943394,0.5660377358490566,0.7169811320754716,0.8490566037735849,0.8679245283018868,272.50439500808716
memoryalpha-stexpanded,1.2,0.0,,0.38461538461538464,0.6923076923076923,0.6923076923076923,0.8461538461538461,1.0,0.24390243902439024,0.5365853658536586,0.7073170731707317,0.8536585365853658,0.9024390243902439,166.26939606666565
starwars-swg,1.2,0.0,,0.0,0.6,0.6,0.6,0.8,0.1,0.15,0.2,0.4,0.6,448.2088141441345
starwars-swtor,1.2,0.0,,0.3333333333333333,0.6666666666666666,0.7333333333333333,0.7333333333333333,0.9333333333333333,0.17857142857142858,0.39285714285714285,0.5714285714285714,0.6785714285714286,0.9107142857142857,452.43018102645874
marvelcinematicuniverse-marvel,1.2,0.3,,0.0,0.0,0.0,0.0,0.5,0.0,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.5454545454545454,447.9722990989685
memoryalpha-memorybeta,1.2,0.3,,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.4528301886792453,0.8113207547169812,0.8490566037735849,0.8490566037735849,0.8867924528301887,272.33092308044434
memoryalpha-stexpanded,1.2,0.3,,0.6153846153846154,0.6923076923076923,0.8461538461538461,1.0,1.0,0.43902439024390244,0.6829268292682927,0.7560975609756098,0.8780487804878049,0.926829268292683,166.53881287574768
starwars-swg,1.2,0.3,,0.4,0.6,0.6,0.6,0.8,0.05,0.15,0.2,0.45,0.6,448.58013010025024
starwars-swtor,1.2,0.3,,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.8666666666666667,0.3392857142857143,0.5714285714285714,0.6428571428571429,0.7678571428571429,0.9642857142857143,452.91447496414185
marvelcinematicuniverse-marvel,1.2,0.75,,0.0,0.0,0.0,0.0,0.5,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.5454545454545454,453.11585092544556
memoryalpha-memorybeta,1.2,0.75,,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.5849056603773585,0.8113207547169812,0.8490566037735849,0.8867924528301887,0.9056603773584906,273.65017223358154
memoryalpha-stexpanded,1.2,0.75,,0.5384615384615384,0.8461538461538461,1.0,1.0,1.0,0.4878048780487805,0.7560975609756098,0.8292682926829268,0.9024390243902439,0.9512195121951219,167.56529092788696
starwars-swg,1.2,0.75,,0.4,0.6,0.6,0.6,0.8,0.15,0.35,0.35,0.5,0.6,450.152400970459
starwars-swtor,1.2,0.75,,0.6666666666666666,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.9333333333333333,0.42857142857142855,0.5714285714285714,0.6607142857142857,0.8571428571428571,0.9821428571428571,454.07732105255127
marvelcinematicuniverse-marvel,1.2,1.0,,0.0,0.0,0.0,0.0,0.5,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.5454545454545454,449.22733521461487
memoryalpha-memorybeta,1.2,1.0,,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.5471698113207547,0.8301886792452831,0.8490566037735849,0.8867924528301887,0.9056603773584906,272.0824341773987
memoryalpha-stexpanded,1.2,1.0,,0.46153846153846156,0.8461538461538461,1.0,1.0,1.0,0.5121951219512195,0.7804878048780488,0.8292682926829268,0.9024390243902439,0.9512195121951219,166.69529581069946
starwars-swg,1.2,1.0,,0.6,0.6,0.6,0.6,0.8,0.15,0.35,0.4,0.5,0.6,447.5070917606354
starwars-swtor,1.2,1.0,,0.6,0.6666666666666666,0.7333333333333333,0.7333333333333333,0.8666666666666667,0.44642857142857145,0.625,0.6964285714285714,0.8035714285714286,0.9821428571428571,453.94316005706787
marvelcinematicuniverse-marvel,1.8,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.45454545454545453,447.4528908729553
memoryalpha-memorybeta,1.8,0.0,,0.42857142857142855,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.3018867924528302,0.5471698113207547,0.6981132075471698,0.8490566037735849,0.8679245283018868,272.41404819488525
memoryalpha-stexpanded,1.8,0.0,,0.38461538461538464,0.6923076923076923,0.6923076923076923,0.8461538461538461,1.0,0.24390243902439024,0.5121951219512195,0.7073170731707317,0.8536585365853658,0.9024390243902439,166.33109211921692
starwars-swg,1.8,0.0,,0.0,0.6,0.6,0.6,0.8,0.1,0.15,0.2,0.4,0.6,448.71326899528503
